fdic_cert_number,failure_date,bank_name,city,state,acquiring_institution,event_type,distress_label
24043,1991-03-29,CITIZENS NATIONAL BANK,LIMON,,,failure,1
22487,1991-03-29,CITY BANK AND TRUST,CLAREMONT,,,failure,1
25817,1991-03-28,THE LANDMARK BANK,HARTFORD,,,failure,1
32095,1991-03-27,"COUNTY BANK, FSB",SANTA BARBARA,,,failure,1
31648,1991-03-22,AMERICAN FEDERAL BANK,ADA,,,failure,1
32175,1991-03-22,CITIZENS SECURITY BANK,BORGER,,,failure,1
28605,1991-03-22,FIRST FSA OF CHICKASHA,CHICKASHA,,,failure,1
32563,1991-03-22,"REPUBLIC SB, FSB",ROCKVILLE,,,failure,1
28512,1991-03-22,STATE SAVINGS,JACKSON HEIGHTS,,,failure,1
30940,1991-03-22,"THE FEDERAL SB, FSB",SWAINSBORO,,,failure,1
29287,1991-03-22,UNITED FSA OF IOWA,DES MOINES,,,failure,1
10331,1991-03-21,CITADEL BANK,WILLIS,,,failure,1
11185,1991-03-21,SABINAL BANK,SABINAL,,,failure,1
28683,1991-03-15,AMERIFIRST FEDERAL SAVINGS,MIAMI,,,failure,1
29716,1991-03-15,ARCANIUM FSA,ARCANUM,,,failure,1
28791,1991-03-15,BELL FEDERAL SAVINGS,UPPER DARBY,,,failure,1
29083,1991-03-15,HOME SAVINGS ASSOCIATION,KANSAS CITY,,,failure,1
32514,1991-03-15,SOVEREIGN SB,PALM HARBOR,,,failure,1
27003,1991-03-15,THE BLACKSTONE BANK AND TRUST CO,BOSTON,,,failure,1
26557,1991-03-14,COOLIDGE CORNER CO-OPERATIVE BANK,BROOKLINE,,,failure,1
18844,1991-03-14,CROSSROADS BANK,VICTORIA,,,failure,1
30139,1991-03-08,ALEXANDER HAMILTON,PATERSON,,,failure,1
29036,1991-03-08,BEACON FEDERAL SAVINGS,BALDWIN,,,failure,1
31454,1991-03-08,FIRST CITIZENS SLA,FORT PIERCE,,,failure,1
29019,1991-03-08,FIRST FSA OF WEWOKA,WEWOKA,,,failure,1
30960,1991-03-08,FIRST FSB,HURON,,,failure,1
24831,1991-03-08,FIRST MARINE BANK OF FLORIDA,PALM CITY,,,failure,1
28827,1991-03-08,JEFFERSON FEDERAL SA,BIRMINGHAM,,,failure,1
24588,1991-03-08,MANILABANK,LOS ANGELES,,,failure,1
32340,1991-03-08,PREFFERED SAVINGS AND LOAN,HIGH POINT,,,failure,1
25145,1991-03-08,SEAFIRST BANK,PORT ST. LUCIE,,,failure,1
32235,1991-03-01,AMERIFIED SAVINGS BANK,LAWRENCEVILLE,,,failure,1
29643,1991-03-01,PEOPLES FEDERAL S & L ASSOC.,NEW KENSINGTON,,,failure,1
17806,1991-02-28,"UNITED CITIZENS BANK, NATIONAL ASSOC",COLLEGE STATION,,,failure,1
31206,1991-02-22,FIRST FS & LA,DALLAS,,,failure,1
29015,1991-02-22,HOLLYWOOD FSB,HOLLYWOOD,,,failure,1
27170,1991-02-22,THE MCKINLEY BANK,NILES,,,failure,1
21985,1991-02-21,SOUTHWEST NATIONAL BANK,ALBUQUERQUE,,,failure,1
29370,1991-02-20,FIRST NORTHERN COOP,KEENE,,,failure,1
16965,1991-02-14,MERCHANTS TRUST & SAVINGS BANK,KENNER,,,failure,1
5594,1991-02-14,THE FIRST NATIONAL BANK OF WORTH,WORTHAM,,,failure,1
31719,1991-02-08,FAMILY S & LA,SEATTLE,,,failure,1
29585,1991-02-08,FIRST FSA OF WAYNESBORO,WAYNESBORO,,,failure,1
28150,1991-02-08,FIRST JERSEY S & LA ASSOC.,WYCKOFF,,,failure,1
29946,1991-02-08,PEOPLES FEDERAL SAVINGS BANK,BAY ST. LOUIS,,,failure,1
32114,1991-02-08,UNITY FS & LA,BEVERLY HILLS,,,failure,1
22080,1991-02-07,FIRST NATIONAL BANK IN KAUFMAN,KAUFMAN,,,failure,1
17850,1991-02-07,LOCKHART STATE BANK,LOCKHART,,,failure,1
31654,1991-02-01,COREAST FSB,RICHMOND,,,failure,1
29422,1991-02-01,FIRST FEDERAL SAVINGS OF TOLEDO,TOLEDO,,,failure,1
31859,1991-02-01,GEORGE WASHINGTON FSA,JONESBOROUGH,,,failure,1
17721,1991-02-01,MAINE SAVINGS BANK,PORTLAND,,,failure,1
11272,1991-02-01,THE MERCHANTS BANK AND TRUST CO,NORWALK,,,failure,1
20579,1991-01-31,BANK OF THE HILLS,AUSTIN,,,failure,1
25815,1991-01-31,"ROCKPORT BANK, NATIONAL ASSOCIATION",ARANSAS COUNTY,,,failure,1
16428,1991-01-29,CITIZENS NATIONAL BANK AND TRUST,CHICAGO,,,failure,1
24568,1991-01-25,ALVARADO BANK,RICHMOND,,,failure,1
30169,1991-01-25,CENTER S & LA,CLIFTON,,,failure,1
31062,1991-01-25,COLUMBIA SAVINGS & LOAN ASSN.,BEVERLY HILLS,,,failure,1
32523,1991-01-25,CORAL S & LA,CORAL SPRINGS,,,failure,1
31703,1991-01-25,TRUSTBANK FSB,TYSONS CORNER,,,failure,1
23461,1991-01-24,METROPOLITAN NATIONAL BANK,FARMERS BRANCH,,,failure,1
23221,1991-01-22,"AMERICAN BANK, NATIONAL ASSOCIATION",RIO RANCHO,,,failure,1
32332,1991-01-18,BEACH FEDERAL SAVINGS ASSOC.,FOUNTAIN VALLEY,,,failure,1
30138,1991-01-18,IRVING SAVINGS & LOAN,PATERSON,,,failure,1
26302,1991-01-11,COMMUNITY NATIONAL BANK,GLASTONBURY,,,failure,1
31560,1991-01-11,CONNECTICUT SAVINGS AND LOAN,HARTFORD,,,failure,1
28292,1991-01-11,FAR WEST SAVINGS & LOAN,NEWPORT BEACH,,,failure,1
32134,1991-01-11,MALIBU SB,COSTA MESA,,,failure,1
2560,1991-01-06,"BANK OF NEW ENGLAND, NATIONAL ASSOC",BOSTON,,,failure,1
4275,1991-01-06,MAINE NATIONAL BANK,PORTLAND,,,failure,1
2545,1991-01-06,THE CONNECTICUT BANK & TRUST CO,HARTFORD,,,failure,1
29638,1991-01-04,FIRST FEDERAL SAVINGS & LOAN,SAN ANTONIO,,,failure,1
29161,1991-01-04,FIRST FS & LA OF PITTSBURG,PITTSBURGH,,,failure,1
28767,1991-01-04,FULTON FEDERAL SAVINGS BANK,ATLANTA,,,failure,1
28634,1991-01-04,ROYAL OAK FS & LA,RANDALLSTOWN,,,failure,1
30888,1991-01-04,TRIDENT FEDERAL S & L ASSOC.,NEWARK,,,failure,1
19572,1990-12-28,CAPITOL BANK AND TRUST COMPANY,BOSTON,,,failure,1
29116,1990-12-28,FIRST FS & LA OF ANDALUSIA,ANDALUSIA,,,failure,1
28287,1990-12-28,SOUTHERN FS,NEW ORLEANS,,,failure,1
29415,1990-12-27,"ENTERPRISE SAVINGS BANK, FA",CHICAGO,,,failure,1
32145,1990-12-21,ARKANSAS FSB,LITTLE ROCK,,,failure,1
28783,1990-12-15,MID-AMERICA FS & LA,COLUMBUS,,,failure,1
29457,1990-12-14,COMFED SAVINGS BANK,LOWELL,,,failure,1
28809,1990-12-14,COMMUNITY FS & LA,ST. LOUIS,,,failure,1
28473,1990-12-14,EMPIRE SAVINGS BANK,HAMMONTON,,,failure,1
23074,1990-12-14,FAR WESTERN BANK,TUSTIN,,,failure,1
25125,1990-12-14,FIRST COMMERCIAL BANK OF FLORIDA,BOCA RATON,,,failure,1
31126,1990-12-14,FRONTIER SAVINGS ASSOCIATION,LAS VEGAS,,,failure,1
31137,1990-12-14,HOME FEDERAL BANK FOR SAVINGS,WAUKEGAN,,,failure,1
30645,1990-12-14,OLD BOROUGH SAVINGS & LOAN,TRENTON,,,failure,1
28143,1990-12-14,OLYMPIC FEDERAL SAVINGS,BERWYN,,,failure,1
23104,1990-12-14,PEOPLES STATE BANK,DALLAS,,,failure,1
9019,1990-12-14,THE STATE BANK OF OMAHA,OMAHA,,,failure,1
26835,1990-12-13,BANK OF COMMERCE,ALEXANDRIA,,,failure,1
9469,1990-12-13,FIRST STATE BANK,LEXINGTON,,,failure,1
11558,1990-12-13,WASHINGTON COUNTY STATE BANK,BRENHAM,,,failure,1
90201,1990-12-12,NEW ENGLAND ALLBANK FOR SAVINGS,GARDNER,,,failure,1
31053,1990-12-07,ANDREWS SAVINGS & LOAN ASSOC.,ANDREWS,,,failure,1
29827,1990-12-07,CENTRAL FEDERAL SAVINGS,MINEOLA,,,failure,1
29958,1990-12-07,FIRST FEDERAL SAVINGS,RALEIGH,,,failure,1
24105,1990-12-07,FIRST NATIONAL BANK OF ROWLETT,ROWLETT,,,failure,1
21631,1990-12-07,HEIGHTS BANK,HARKER HEIGHTS,,,failure,1
27700,1990-12-07,TEXARKANA FS & LA,TEXARCANA,,,failure,1
26383,1990-12-06,DOUGLAS COUNTY NATIONAL BANK,PARKER,,,failure,1
31616,1990-11-30,ATASCOSA SA,JOURDANTON,,,failure,1
22690,1990-11-30,BOUNDARY WATERS STATE BANK,ELY,,,failure,1
29003,1990-11-30,EDISON FSA,NEW YORK,,,failure,1
28821,1990-11-30,FIRST FSA OF NACOGDOCHES,NACOGDOCHES,,,failure,1
29466,1990-11-30,FIRST SA,PARAGOULD,,,failure,1
31827,1990-11-30,FIRST SOUTHWEST FS & LA,TYLER,,,failure,1
31058,1990-11-30,SAN JACINTO SAVINGS,HOUSTON,,,failure,1
30122,1990-11-30,TUSKEGEE S & LA,TUSKEGEE,,,failure,1
18851,1990-11-29,BANK OF ARLINGTON,ARLINGTON,,,failure,1
1204,1990-11-29,FARMERS STATE BANK OF MADISONVILLLE,MADISONVILLE,,,failure,1
29207,1990-11-16,FIRST FEDERAL SAVINGS ASSOC.,LAS VEGAS,,,failure,1
