fdic_cert_number,rssd_id,bank_name,city,state,active_status,total_assets,charter_type,established_date,last_updated
17233,,FIRST BANK&TRUST EAST TEXAS,DIBOLL,TX,,1005080,,,2026-07-10
17237,,"NUMERICA SAVINGS BANK, FSB",MANCHESTER,,False,,,,2026-07-10
17240,,CHERRY CREEK NATIONAL BANK,DENVER,,False,,,,2026-07-10
17266,143662,Columbia Bank,Roseburg,OR,True,66011146,0,1953-11-09,2026-07-10
17267,,BOULEVARD STATE BANK,WICHITA,,False,,,,2026-07-10
17281,63069,City National Bank,Los Angeles,CA,True,99947369,14695,1953-12-04,2026-07-10
17293,,CENTURY BANK,TULSA,,False,,,,2026-07-10
17299,,"FIRST CITY, TEXAS - KOUNTZE, NA",KOUNTZE,,False,,,,2026-07-10
17308,701062,Central Pacific Bank,Honolulu,HI,True,7489639,0,1954-02-15,2026-07-10
17309,,BANK OF LINCOLNWOOD,LINCOLNWOOD,,False,,,,2026-07-10
17310,,FIRST CITIZENS BANK,DALLAS,,False,,,,2026-07-10
17323,707354,First State Community Bank,Farmington,MO,True,4512330,0,1954-05-11,2026-07-10
17326,,CITIZENS BANK,HOUSTON,,False,,,,2026-07-10
17334,,FIRST INTERSTATE BANK OF ALASKA,ANCHORAGE,,False,,,,2026-07-10
17343,,"FIRST CITY, TEXAS - ALICE, NA",ALICE,,False,,,,2026-07-10
17376,,THE FIRST STATE BANK OF JENNINGS,JENNINGS,,False,,,,2026-07-10
17377,,THE FARMERS STATE BANK,PROTECTION,,False,,,,2026-07-10
17382,,THE BENTON STATE BANK,BENTON,,False,,,,2026-07-10
17393,37640,German American Bank,Jasper,IN,True,8371107,0,1910-11-10,2026-07-10
17405,,102 VALLEY BANK,HOPKINS,,False,,,,2026-07-10
17421,,"TEXAS AMERICAN BANK/MIDLAND, NA",MIDLAND,,False,,,,2026-07-10
17422,,FIRST REPUBLICBANK-JEFFERSON COUNTY,BEAUMONT,,False,,,,2026-07-10
17428,,THE BREMEN STATE BANK,BREMEN,,False,,,,2026-07-10
17436,,KATY NATIONAL BANK,KATY,,False,,,,2026-07-10
17437,256553,Dacotah Bank,Aberdeen,SD,True,4867664,0,1955-04-30,2026-07-10
17438,413141,First National Bank of America,East Lansing,MI,True,6762755,14740,1955-05-06,2026-07-10
17439,,SECURITY STATE BANK,CASEY,,False,,,,2026-07-10
17442,,CAPITAL BANK & TRUST CO.,BATON ROUGE,,False,,,,2026-07-10
17466,,STATE BANK OF ALEXANDRIA,ALEXANDRIA,,False,,,,2026-07-10
17470,804338,First Bank Chicago,Highland Park,IL,True,2161369,0,1955-07-16,2026-07-10
17475,,LATIMER BANK & TRUST,LATIMER,,False,,,,2026-07-10
17478,536554,FirsTier Bank,Kimball,NE,True,1114807,0,1955-07-15,2026-07-10
17482,,GUARANTY BANK&TRUST CO,DENVER,CO,,3768196,,,2026-07-10
17484,,COMMERCE BANK&TRUST CO,WORCESTER,MA,,1828592,,,2026-07-10
17491,637451,PlainsCapital Bank,University Park,TX,True,12440134,0,1955-09-15,2026-07-10
17492,,FIRST REPUBLICBANK-VICTORIA,VICTORIA,,False,,,,2026-07-10
17493,,ALASKA NATIONAL BANK OF THE NORTH,FAIRBANKS,,False,,,,2026-07-10
17509,191935,First State Bank,Key West,FL,True,1188143,0,1955-10-29,2026-07-10
17510,,FIRST STATE BANK OF BOVINA,BOVINA,,False,,,,2026-07-10
17514,502849,Banterra Bank,Marion,IL,True,3260267,0,1955-11-26,2026-07-10
17522,,ST. STEPHEN STATE BANK,ST. STEPHEN,,False,,,,2026-07-10
17532,,AMERICAN BANK & TRUST COMPANY,LAFAYETTE,,False,,,,2026-07-10
17534,280110,KeyBank National Association,Cleveland,OH,True,185983433,14761,1849-01-01,2026-07-10
17537,,LOUISIANA BANK & TRUST COMPANY,SHREVEPORT,,False,,,,2026-07-10
17557,,FIRST NATIONAL BANK OF CRESTVIEW,CRESTVIEW,,False,,,,2026-07-10
17599,,PALOS BANK AND TRUST COMPANY,PALOS HEIGHTS,,False,,,,2026-07-10
17612,31255,Central Bank,Houston,TX,True,1347254,0,1956-05-31,2026-07-10
17614,482156,Farmers Bank & Trust,Great Bend,KS,True,1048648,0,1907-08-01,2026-07-10
17615,,THE CITIZENS STATE BANK,VIOLA,,False,,,,2026-07-10
17616,,FIRST STATE BANK,WHITE CLOUD,,False,,,,2026-07-10
17633,,CENTRAL BANK OF THE OZARKS,SPRINGFIELD,MO,,1922676,,,2026-07-10
17653,,"THE MAYFIELD STATE BANK, MAYFIELD",MAYFIELD,,False,,,,2026-07-10
17654,,FIRST NATIONAL BANK IN CENTER,CENTER,,False,,,,2026-07-10
17658,289702,Norway Savings Bank,Norway,ME,True,2080808,0,1866-01-01,2026-07-10
17665,,MIAMI NATIONAL BANK,MIAMI,,False,,,,2026-07-10
17681,,THE BANK OF HORTON,HORTON,,False,,,,2026-07-10
17700,,THE FARMERS STATE BANK,SELDEN,,False,,,,2026-07-10
17710,,GATEWAY NATIONAL BANK,CHICAGO,,False,,,,2026-07-10
17716,,THE BOWIE COUNTY STATE BANK,HOOKS,,False,,,,2026-07-10
17719,,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,ARGONIA,,False,,,,2026-07-10
17721,,MAINE SAVINGS BANK,PORTLAND,,False,,,,2026-07-10
17726,,THE HOME STATE BANK,RUSSELL,,False,,,,2026-07-10
17735,1011526,City National Bank of West Virginia,Charleston,WV,True,6741168,14807,1957-04-01,2026-07-10
17741,499501,Maine Community Bank,Portland,ME,True,2894748,0,1867-07-27,2026-07-10
17743,339607,Saco & Biddeford Savings Institution,Saco,ME,True,1456967,0,1827-02-21,2026-07-10
17748,,GORHAM SAVINGS BANK,GORHAM,ME,,1608101,,,2026-07-10
17749,433505,Bath Savings Institution,Bath,ME,True,1499837,0,1852-04-19,2026-07-10
17750,,SUPERIOR BANK,BIRMINGHAM,AL,False,2977290,,,2026-07-10
17751,132107,Androscoggin Savings Bank,Lewiston,ME,True,1779609,0,1870-01-01,2026-07-10
17762,,THE ROCHELLE BK & TR CO.,ROCHELLE,,False,,,,2026-07-10
17764,876700,Centreville Bank,West Warwick,RI,True,3051213,0,1888-01-01,2026-07-10
17778,,VANGUARD SAVINGS BANK,HOLYOKE,,False,,,,2026-07-10
17792,,BC NATIONAL BANKS,BUTLER,,False,,,,2026-07-10
17795,,FIRST MUTUAL BANK FOR SAVINGS,BOSTON,,False,,,,2026-07-10
17798,782306,Beacon Bank and Trust,Brookline,MA,True,22181187,0,1871-01-01,2026-07-10
17806,,"UNITED CITIZENS BANK, NATIONAL ASSOC",COLLEGE STATION,,False,,,,2026-07-10
17809,,CITIZENS BANK,CORVALLIS,OR,,1095490,,,2026-07-10
17815,,FIRST COMMERCE BK OF HAWKINS CTY,ROGERSVILLE,,False,,,,2026-07-10
17822,,CENTRAL BANK,MERIDEN,,False,,,,2026-07-10
17833,,THE STEELE STATE BANK,CHEROKEE,,False,,,,2026-07-10
17837,,WILLIAMSBURG FIRST NATIONAL BANK,KINGSTREE,,False,,,,2026-07-10
17838,437914,"Wilmington Savings Fund Society, FSB",Wilmington,DE,True,22016606,707938,1832-02-18,2026-07-10
17842,949154,Texas Bank and Trust Company,Longview,TX,True,4461113,0,1958-03-04,2026-07-10
17850,,LOCKHART STATE BANK,LOCKHART,,False,,,,2026-07-10
17852,,WESTERN BANK-WESTHEIMER,HOUSTON,,False,,,,2026-07-10
17861,,NORTH SIDE STATE BANK,TULSA,,False,,,,2026-07-10
17870,758703,Cambridge Savings Bank,Cambridge,MA,True,6912673,0,1834-04-02,2026-07-10
17879,,"BANK MERIDIAN, NATIONAL ASSOCIATION",HAMPTON,,False,,,,2026-07-10
17888,,YANKEE BANK FOR FINANCE & SAVING,BOSTON,,False,,,,2026-07-10
17897,583905,Kennebec Savings Bank,Augusta,ME,True,1828069,0,1870-03-19,2026-07-10
17902,,NORTHEAST BANK OF HOUSTON,HOUSTON,,False,,,,2026-07-10
17910,,MORRIS BANK,DUBLIN,GA,,1598703,,,2026-07-10
17911,,"FIRST CITY, TEXAS - EAST DALLAS",DALLAS,,False,,,,2026-07-10
17918,,TRI-CITY BANK,WARREN,,False,,,,2026-07-10
17943,587800,Liberty Bank,Middletown,CT,True,9017093,0,1825-05-15,2026-07-10
17947,,FARMERS STATE BANK,HART,,False,,,,2026-07-10
17952,,CHAS. SCHREINER BANK,KERRVILLE,,False,,,,2026-07-10
17957,,NATIONAL BK OF ODESSA,ODESSA,,False,,,,2026-07-10
17960,74403,Merrimack County Savings Bank,Concord,NH,True,1390762,0,1867-01-01,2026-07-10
17962,,ESKRIDGE STATE BANK,ESKRIDGE,,False,,,,2026-07-10
17963,,BANKCENTRAL AMARILLO,AMARILLO,,False,,,,2026-07-10
17964,656470,State Bank of Southern Utah,Cedar City,UT,True,2669355,0,1957-11-25,2026-07-10
17967,,THE  BANK OF UNION,EL RENO,,False,,,,2026-07-10
17985,980661,First Hawaiian Bank,Honolulu,HI,True,24266808,0,1858-01-01,2026-07-10
18002,,FIRST AMERICAN BANK AND TRUST,NORTH PALM BEACH,,False,,,,2026-07-10
18012,265407,Bank of New Hampshire,Laconia,NH,True,2811973,0,1831-07-02,2026-07-10
18013,268006,Mascoma Bank,Lebanon,NH,True,2995084,0,1899-01-01,2026-07-10
18053,795968,Bank of Hawaii,Honolulu,HI,True,23875947,0,1897-01-01,2026-07-10
18059,324863,The Bank of Commerce,Ammon,ID,True,2255917,0,1959-08-01,2026-07-10
18066,,SEACOAST SAVINGS BANK,DOVER,,False,,,,2026-07-10
18070,,"TEXAS AMERICAN BANK/AUSTIN, NA",AUSTIN,,False,,,,2026-07-10
