bank_id,quarter_end_date,fdic_cert_number,n_scored,n_negative,n_positive,neg_share,pos_share,mean_p_negative,mean_p_positive,threshold,model_version
egbn,2023-09-30,34742,41,1,13,0.0244,0.3171,0.045,0.3177,0.5,finbert-ft-2026-08-09
egbn,2023-12-31,34742,46,0,17,0.0,0.3696,0.0117,0.3649,0.5,finbert-ft-2026-08-09
egbn,2024-03-31,34742,56,9,18,0.1607,0.3214,0.1829,0.3187,0.5,finbert-ft-2026-08-09
egbn,2024-06-30,34742,81,3,17,0.037,0.2099,0.0497,0.235,0.5,finbert-ft-2026-08-09
egbn,2024-09-30,34742,76,6,13,0.0789,0.1711,0.0937,0.2052,0.5,finbert-ft-2026-08-09
egbn,2024-12-31,34742,65,1,14,0.0154,0.2154,0.0328,0.2731,0.5,finbert-ft-2026-08-09
ewbc,2020-03-31,31628,25,0,16,0.0,0.64,0.017,0.6248,0.5,finbert-ft-2026-08-09
ewbc,2020-06-30,31628,18,0,10,0.0,0.5556,0.0162,0.582,0.5,finbert-ft-2026-08-09
ewbc,2020-09-30,31628,12,1,7,0.0833,0.5833,0.1009,0.6039,0.5,finbert-ft-2026-08-09
ewbc,2020-12-31,31628,11,1,7,0.0909,0.6364,0.1072,0.6334,0.5,finbert-ft-2026-08-09
ewbc,2021-03-31,31628,28,0,17,0.0,0.6071,0.1344,0.4977,0.5,finbert-ft-2026-08-09
ewbc,2021-06-30,31628,12,0,9,0.0,0.75,0.0138,0.7353,0.5,finbert-ft-2026-08-09
ewbc,2021-09-30,31628,15,2,6,0.1333,0.4,0.1283,0.451,0.5,finbert-ft-2026-08-09
ewbc,2021-12-31,31628,12,0,6,0.0,0.5,0.0136,0.5628,0.5,finbert-ft-2026-08-09
ewbc,2022-03-31,31628,17,1,11,0.0588,0.6471,0.0641,0.6001,0.5,finbert-ft-2026-08-09
ewbc,2022-06-30,31628,19,1,8,0.0526,0.4211,0.0395,0.4666,0.5,finbert-ft-2026-08-09
ewbc,2022-09-30,31628,6,0,4,0.0,0.6667,0.0119,0.6158,0.5,finbert-ft-2026-08-09
ewbc,2022-12-31,31628,9,2,4,0.2222,0.4444,0.2658,0.4137,0.5,finbert-ft-2026-08-09
ewbc,2023-03-31,31628,25,2,11,0.08,0.44,0.0807,0.4553,0.5,finbert-ft-2026-08-09
ewbc,2023-06-30,31628,121,2,17,0.0165,0.1405,0.0356,0.1826,0.5,finbert-ft-2026-08-09
ewbc,2023-09-30,31628,72,4,14,0.0556,0.1944,0.0575,0.2248,0.5,finbert-ft-2026-08-09
ewbc,2023-12-31,31628,55,5,24,0.0909,0.4364,0.0822,0.4112,0.5,finbert-ft-2026-08-09
ewbc,2024-03-31,31628,83,4,30,0.0482,0.3614,0.0558,0.3472,0.5,finbert-ft-2026-08-09
ewbc,2024-06-30,31628,76,2,24,0.0263,0.3158,0.0317,0.3485,0.5,finbert-ft-2026-08-09
ewbc,2024-09-30,31628,107,3,21,0.028,0.1963,0.048,0.2167,0.5,finbert-ft-2026-08-09
ewbc,2024-12-31,31628,79,2,19,0.0253,0.2405,0.0342,0.2974,0.5,finbert-ft-2026-08-09
fbp,2020-03-31,30387,6,0,4,0.0,0.6667,0.0087,0.6493,0.5,finbert-ft-2026-08-09
fbp,2020-06-30,30387,4,0,3,0.0,0.75,0.0074,0.7242,0.5,finbert-ft-2026-08-09
fbp,2020-09-30,30387,5,0,4,0.0,0.8,0.0072,0.7701,0.5,finbert-ft-2026-08-09
fbp,2020-12-31,30387,5,0,4,0.0,0.8,0.0068,0.7678,0.5,finbert-ft-2026-08-09
fbp,2021-03-31,30387,2,0,1,0.0,0.5,0.0127,0.5065,0.5,finbert-ft-2026-08-09
fbp,2021-06-30,30387,7,0,6,0.0,0.8571,0.007,0.8155,0.5,finbert-ft-2026-08-09
fbp,2021-09-30,30387,2,0,1,0.0,0.5,0.0083,0.4965,0.5,finbert-ft-2026-08-09
fbp,2021-12-31,30387,5,0,4,0.0,0.8,0.0073,0.7716,0.5,finbert-ft-2026-08-09
fbp,2022-03-31,30387,3,0,2,0.0,0.6667,0.0108,0.6575,0.5,finbert-ft-2026-08-09
fbp,2022-06-30,30387,5,0,3,0.0,0.6,0.0077,0.5959,0.5,finbert-ft-2026-08-09
fbp,2022-09-30,30387,4,1,2,0.25,0.5,0.1863,0.4914,0.5,finbert-ft-2026-08-09
fbp,2022-12-31,30387,2,0,1,0.0,0.5,0.0083,0.497,0.5,finbert-ft-2026-08-09
fbp,2023-03-31,30387,5,0,3,0.0,0.6,0.0091,0.5297,0.5,finbert-ft-2026-08-09
fbp,2023-06-30,30387,7,0,2,0.0,0.2857,0.0069,0.4015,0.5,finbert-ft-2026-08-09
fbp,2023-09-30,30387,6,0,1,0.0,0.1667,0.0073,0.2036,0.5,finbert-ft-2026-08-09
fbp,2023-12-31,30387,4,0,1,0.0,0.25,0.0093,0.2714,0.5,finbert-ft-2026-08-09
fbp,2024-03-31,30387,5,0,2,0.0,0.4,0.0112,0.4046,0.5,finbert-ft-2026-08-09
fbp,2024-06-30,30387,14,0,4,0.0,0.2857,0.0126,0.3183,0.5,finbert-ft-2026-08-09
fbp,2024-09-30,30387,11,0,2,0.0,0.1818,0.0123,0.2453,0.5,finbert-ft-2026-08-09
fbp,2024-12-31,30387,9,0,1,0.0,0.1111,0.0105,0.1213,0.5,finbert-ft-2026-08-09
fcf,2020-03-31,7468,12,0,3,0.0,0.25,0.0088,0.2233,0.5,finbert-ft-2026-08-09
fcf,2020-06-30,7468,7,0,3,0.0,0.4286,0.0071,0.4138,0.5,finbert-ft-2026-08-09
fcf,2020-09-30,7468,10,4,3,0.4,0.3,0.3975,0.2915,0.5,finbert-ft-2026-08-09
fcf,2020-12-31,7468,6,1,3,0.1667,0.5,0.1671,0.4912,0.5,finbert-ft-2026-08-09
fcf,2021-03-31,7468,6,0,2,0.0,0.3333,0.013,0.3901,0.5,finbert-ft-2026-08-09
fcf,2021-06-30,7468,9,0,5,0.0,0.5556,0.0162,0.5089,0.5,finbert-ft-2026-08-09
fcf,2021-09-30,7468,10,0,3,0.0,0.3,0.0107,0.2844,0.5,finbert-ft-2026-08-09
fcf,2021-12-31,7468,5,0,2,0.0,0.4,0.0126,0.3997,0.5,finbert-ft-2026-08-09
fcf,2022-03-31,7468,4,0,1,0.0,0.25,0.008,0.2722,0.5,finbert-ft-2026-08-09
fcf,2022-06-30,7468,8,0,6,0.0,0.75,0.006,0.7174,0.5,finbert-ft-2026-08-09
fcf,2022-09-30,7468,7,0,4,0.0,0.5714,0.0056,0.6082,0.5,finbert-ft-2026-08-09
fcf,2022-12-31,7468,5,0,3,0.0,0.6,0.0067,0.5212,0.5,finbert-ft-2026-08-09
fcf,2023-03-31,7468,8,0,5,0.0,0.625,0.0079,0.6127,0.5,finbert-ft-2026-08-09
fcf,2023-06-30,7468,8,0,4,0.0,0.5,0.0077,0.4959,0.5,finbert-ft-2026-08-09
fcf,2023-09-30,7468,4,0,2,0.0,0.5,0.0072,0.4893,0.5,finbert-ft-2026-08-09
fcf,2023-12-31,7468,5,0,2,0.0,0.4,0.0109,0.4296,0.5,finbert-ft-2026-08-09
fcf,2024-03-31,7468,9,0,5,0.0,0.5556,0.0076,0.515,0.5,finbert-ft-2026-08-09
fcf,2024-06-30,7468,7,0,2,0.0,0.2857,0.0105,0.2845,0.5,finbert-ft-2026-08-09
fcf,2024-09-30,7468,9,0,3,0.0,0.3333,0.0109,0.4257,0.5,finbert-ft-2026-08-09
fcf,2024-12-31,7468,9,0,6,0.0,0.6667,0.0065,0.6431,0.5,finbert-ft-2026-08-09
fcnca,2020-03-31,11063,58,1,12,0.0172,0.2069,0.032,0.2143,0.5,finbert-ft-2026-08-09
fcnca,2020-06-30,11063,25,2,9,0.08,0.36,0.0765,0.3253,0.5,finbert-ft-2026-08-09
fcnca,2020-09-30,11063,27,2,3,0.0741,0.1111,0.082,0.1184,0.5,finbert-ft-2026-08-09
fcnca,2020-12-31,11063,49,3,14,0.0612,0.2857,0.0659,0.2962,0.5,finbert-ft-2026-08-09
fcnca,2021-03-31,11063,69,2,14,0.029,0.2029,0.0374,0.2175,0.5,finbert-ft-2026-08-09
fcnca,2021-06-30,11063,26,0,4,0.0,0.1538,0.0178,0.1882,0.5,finbert-ft-2026-08-09
fcnca,2021-09-30,11063,50,2,12,0.04,0.24,0.0442,0.3043,0.5,finbert-ft-2026-08-09
fcnca,2021-12-31,11063,48,2,7,0.0417,0.1458,0.057,0.179,0.5,finbert-ft-2026-08-09
fcnca,2022-03-31,11063,64,1,17,0.0156,0.2656,0.0179,0.2602,0.5,finbert-ft-2026-08-09
fcnca,2022-06-30,11063,59,1,6,0.0169,0.1017,0.0306,0.1411,0.5,finbert-ft-2026-08-09
fcnca,2022-09-30,11063,51,1,5,0.0196,0.098,0.0329,0.1079,0.5,finbert-ft-2026-08-09
fcnca,2022-12-31,11063,35,1,3,0.0286,0.0857,0.0259,0.1211,0.5,finbert-ft-2026-08-09
fcnca,2023-03-31,11063,1426,143,365,0.1003,0.256,0.1166,0.2791,0.5,finbert-ft-2026-08-09
fcnca,2023-06-30,11063,322,50,61,0.1553,0.1894,0.1631,0.2044,0.5,finbert-ft-2026-08-09
fcnca,2023-09-30,11063,165,0,28,0.0,0.1697,0.0112,0.1949,0.5,finbert-ft-2026-08-09
fcnca,2023-12-31,11063,169,3,28,0.0178,0.1657,0.0265,0.1871,0.5,finbert-ft-2026-08-09
fcnca,2024-03-31,11063,249,0,29,0.0,0.1165,0.0185,0.1269,0.5,finbert-ft-2026-08-09
fcnca,2024-06-30,11063,258,4,24,0.0155,0.093,0.029,0.1141,0.5,finbert-ft-2026-08-09
fcnca,2024-09-30,11063,235,0,21,0.0,0.0894,0.015,0.1104,0.5,finbert-ft-2026-08-09
fcnca,2024-12-31,11063,186,1,14,0.0054,0.0753,0.0172,0.0935,0.5,finbert-ft-2026-08-09
ffbc,2020-03-31,6600,4,0,3,0.0,0.75,0.0086,0.7161,0.5,finbert-ft-2026-08-09
ffbc,2020-06-30,6600,6,0,5,0.0,0.8333,0.0066,0.7884,0.5,finbert-ft-2026-08-09
ffbc,2020-09-30,6600,4,0,3,0.0,0.75,0.0074,0.715,0.5,finbert-ft-2026-08-09
ffbc,2020-12-31,6600,5,0,4,0.0,0.8,0.0071,0.7591,0.5,finbert-ft-2026-08-09
ffbc,2021-03-31,6600,4,0,3,0.0,0.75,0.0088,0.7208,0.5,finbert-ft-2026-08-09
ffbc,2021-06-30,6600,5,0,4,0.0,0.8,0.0072,0.7652,0.5,finbert-ft-2026-08-09
ffbc,2021-09-30,6600,3,0,2,0.0,0.6667,0.0079,0.6442,0.5,finbert-ft-2026-08-09
ffbc,2021-12-31,6600,4,0,3,0.0,0.75,0.0073,0.7202,0.5,finbert-ft-2026-08-09
ffbc,2022-03-31,6600,5,0,4,0.0,0.8,0.0082,0.7658,0.5,finbert-ft-2026-08-09
ffbc,2022-06-30,6600,5,0,3,0.0,0.6,0.0077,0.5831,0.5,finbert-ft-2026-08-09
ffbc,2022-09-30,6600,3,0,2,0.0,0.6667,0.0078,0.6427,0.5,finbert-ft-2026-08-09
ffbc,2022-12-31,6600,3,0,2,0.0,0.6667,0.0078,0.642,0.5,finbert-ft-2026-08-09
ffbc,2023-03-31,6600,6,0,4,0.0,0.6667,0.008,0.643,0.5,finbert-ft-2026-08-09
ffbc,2023-06-30,6600,6,0,3,0.0,0.5,0.0075,0.4908,0.5,finbert-ft-2026-08-09
ffbc,2023-09-30,6600,3,0,2,0.0,0.6667,0.0078,0.6424,0.5,finbert-ft-2026-08-09
ffbc,2023-12-31,6600,4,0,3,0.0,0.75,0.0074,0.7175,0.5,finbert-ft-2026-08-09
ffbc,2024-03-31,6600,7,0,3,0.0,0.4286,0.0088,0.4322,0.5,finbert-ft-2026-08-09
ffbc,2024-06-30,6600,6,0,3,0.0,0.5,0.0074,0.4877,0.5,finbert-ft-2026-08-09
ffbc,2024-09-30,6600,3,0,2,0.0,0.6667,0.0078,0.6427,0.5,finbert-ft-2026-08-09
ffbc,2024-12-31,6600,3,0,2,0.0,0.6667,0.0078,0.6418,0.5,finbert-ft-2026-08-09
ffin,2020-03-31,3066,11,0,8,0.0,0.7273,0.0154,0.681,0.5,finbert-ft-2026-08-09
ffin,2020-06-30,3066,12,0,7,0.0,0.5833,0.0096,0.5635,0.5,finbert-ft-2026-08-09
ffin,2020-09-30,3066,5,0,3,0.0,0.6,0.0086,0.5546,0.5,finbert-ft-2026-08-09
ffin,2020-12-31,3066,2,0,1,0.0,0.5,0.0139,0.494,0.5,finbert-ft-2026-08-09
ffin,2021-03-31,3066,2,0,1,0.0,0.5,0.0126,0.4974,0.5,finbert-ft-2026-08-09
ffin,2021-06-30,3066,5,0,4,0.0,0.8,0.0096,0.7723,0.5,finbert-ft-2026-08-09
ffin,2021-09-30,3066,6,0,4,0.0,0.6667,0.0155,0.6828,0.5,finbert-ft-2026-08-09
ffin,2021-12-31,3066,3,0,2,0.0,0.6667,0.0115,0.6485,0.5,finbert-ft-2026-08-09
ffin,2022-03-31,3066,9,0,2,0.0,0.2222,0.0085,0.2822,0.5,finbert-ft-2026-08-09
ffin,2022-06-30,3066,17,0,5,0.0,0.2941,0.0129,0.3139,0.5,finbert-ft-2026-08-09
ffin,2022-09-30,3066,5,0,3,0.0,0.6,0.0098,0.582,0.5,finbert-ft-2026-08-09
ffin,2022-12-31,3066,2,0,1,0.0,0.5,0.0139,0.4925,0.5,finbert-ft-2026-08-09
ffin,2023-03-31,3066,6,0,3,0.0,0.5,0.0094,0.4922,0.5,finbert-ft-2026-08-09
ffin,2023-06-30,3066,19,0,4,0.0,0.2105,0.0088,0.2319,0.5,finbert-ft-2026-08-09
ffin,2023-09-30,3066,11,0,4,0.0,0.3636,0.0086,0.3494,0.5,finbert-ft-2026-08-09
ffin,2023-12-31,3066,8,0,2,0.0,0.25,0.0081,0.343,0.5,finbert-ft-2026-08-09
ffin,2024-03-31,3066,14,0,2,0.0,0.1429,0.011,0.1594,0.5,finbert-ft-2026-08-09
ffin,2024-06-30,3066,25,1,7,0.04,0.28,0.0444,0.3127,0.5,finbert-ft-2026-08-09
ffin,2024-09-30,3066,15,0,2,0.0,0.1333,0.0088,0.1596,0.5,finbert-ft-2026-08-09
ffin,2024-12-31,3066,18,0,3,0.0,0.1667,0.009,0.1992,0.5,finbert-ft-2026-08-09
fhb,2020-03-31,17985,41,5,12,0.122,0.2927,0.1486,0.2609,0.5,finbert-ft-2026-08-09
fhb,2020-06-30,17985,38,0,14,0.0,0.3684,0.0114,0.3373,0.5,finbert-ft-2026-08-09
fhb,2020-09-30,17985,41,1,6,0.0244,0.1463,0.0318,0.1535,0.5,finbert-ft-2026-08-09
fhb,2020-12-31,17985,10,0,3,0.0,0.3,0.0094,0.293,0.5,finbert-ft-2026-08-09
fhb,2021-03-31,17985,17,1,5,0.0588,0.2941,0.0625,0.2903,0.5,finbert-ft-2026-08-09
fhb,2021-06-30,17985,30,0,6,0.0,0.2,0.013,0.2327,0.5,finbert-ft-2026-08-09
fhb,2021-09-30,17985,23,1,5,0.0435,0.2174,0.0496,0.2185,0.5,finbert-ft-2026-08-09
fhb,2021-12-31,17985,21,6,5,0.2857,0.2381,0.245,0.2379,0.5,finbert-ft-2026-08-09
fhb,2022-03-31,17985,40,1,8,0.025,0.2,0.0408,0.2025,0.5,finbert-ft-2026-08-09
fhb,2022-06-30,17985,41,0,9,0.0,0.2195,0.0243,0.2054,0.5,finbert-ft-2026-08-09
fhb,2022-09-30,17985,24,1,7,0.0417,0.2917,0.0498,0.2826,0.5,finbert-ft-2026-08-09
fhb,2022-12-31,17985,38,0,8,0.0,0.2105,0.0084,0.238,0.5,finbert-ft-2026-08-09
fhb,2023-03-31,17985,30,1,3,0.0333,0.1,0.041,0.1245,0.5,finbert-ft-2026-08-09
fhb,2023-06-30,17985,201,1,16,0.005,0.0796,0.0154,0.1076,0.5,finbert-ft-2026-08-09
fhb,2023-09-30,17985,112,2,11,0.0179,0.0982,0.0262,0.1307,0.5,finbert-ft-2026-08-09
fhb,2023-12-31,17985,96,1,11,0.0104,0.1146,0.026,0.1334,0.5,finbert-ft-2026-08-09
fhb,2024-03-31,17985,100,7,5,0.07,0.05,0.0732,0.0868,0.5,finbert-ft-2026-08-09
fhb,2024-06-30,17985,127,1,15,0.0079,0.1181,0.0364,0.131,0.5,finbert-ft-2026-08-09
fhb,2024-09-30,17985,235,4,21,0.017,0.0894,0.0283,0.1206,0.5,finbert-ft-2026-08-09
fhb,2024-12-31,17985,57,1,9,0.0175,0.1579,0.0377,0.1644,0.5,finbert-ft-2026-08-09
fhn,2020-03-31,4977,14,2,3,0.1429,0.2143,0.1345,0.216,0.5,finbert-ft-2026-08-09
fhn,2020-06-30,4977,16,0,14,0.0,0.875,0.0075,0.8207,0.5,finbert-ft-2026-08-09
fhn,2020-09-30,4977,16,1,9,0.0625,0.5625,0.0566,0.5626,0.5,finbert-ft-2026-08-09
fhn,2020-12-31,4977,5,0,4,0.0,0.8,0.0073,0.7629,0.5,finbert-ft-2026-08-09
fhn,2021-03-31,4977,17,0,5,0.0,0.2941,0.0074,0.3025,0.5,finbert-ft-2026-08-09
fhn,2021-06-30,4977,17,0,5,0.0,0.2941,0.0219,0.3138,0.5,finbert-ft-2026-08-09
fhn,2021-09-30,4977,23,0,5,0.0,0.2174,0.006,0.2212,0.5,finbert-ft-2026-08-09
fhn,2021-12-31,4977,27,0,7,0.0,0.2593,0.0083,0.3019,0.5,finbert-ft-2026-08-09
fhn,2022-03-31,4977,28,0,8,0.0,0.2857,0.0308,0.2455,0.5,finbert-ft-2026-08-09
fhn,2022-06-30,4977,24,0,12,0.0,0.5,0.0082,0.4149,0.5,finbert-ft-2026-08-09
fhn,2022-09-30,4977,12,0,5,0.0,0.4167,0.0099,0.3141,0.5,finbert-ft-2026-08-09
fhn,2022-12-31,4977,34,0,24,0.0,0.7059,0.0103,0.6552,0.5,finbert-ft-2026-08-09
fhn,2023-03-31,4977,13,0,3,0.0,0.2308,0.007,0.2288,0.5,finbert-ft-2026-08-09
fhn,2023-06-30,4977,74,16,17,0.2162,0.2297,0.2486,0.2015,0.5,finbert-ft-2026-08-09
fhn,2023-09-30,4977,43,19,9,0.4419,0.2093,0.4487,0.1908,0.5,finbert-ft-2026-08-09
fhn,2023-12-31,4977,18,0,6,0.0,0.3333,0.016,0.2666,0.5,finbert-ft-2026-08-09
fhn,2024-03-31,4977,29,0,3,0.0,0.1034,0.0079,0.1604,0.5,finbert-ft-2026-08-09
fhn,2024-06-30,4977,35,0,9,0.0,0.2571,0.0081,0.2755,0.5,finbert-ft-2026-08-09
fhn,2024-09-30,4977,11,2,4,0.1818,0.3636,0.1568,0.3133,0.5,finbert-ft-2026-08-09
fhn,2024-12-31,4977,16,0,8,0.0,0.5,0.0077,0.4602,0.5,finbert-ft-2026-08-09
fibk,2020-03-31,1105,39,0,4,0.0,0.1026,0.0416,0.1228,0.5,finbert-ft-2026-08-09
fibk,2020-06-30,1105,31,0,11,0.0,0.3548,0.0425,0.3177,0.5,finbert-ft-2026-08-09
fibk,2020-09-30,1105,23,0,2,0.0,0.087,0.0621,0.1171,0.5,finbert-ft-2026-08-09
fibk,2020-12-31,1105,11,0,1,0.0,0.0909,0.0644,0.1274,0.5,finbert-ft-2026-08-09
fibk,2021-03-31,1105,10,0,1,0.0,0.1,0.067,0.1133,0.5,finbert-ft-2026-08-09
fibk,2021-06-30,1105,16,1,0,0.0625,0.0,0.1377,0.0443,0.5,finbert-ft-2026-08-09
fibk,2021-09-30,1105,41,1,20,0.0244,0.4878,0.0656,0.4873,0.5,finbert-ft-2026-08-09
fibk,2021-12-31,1105,21,0,6,0.0,0.2857,0.0399,0.2092,0.5,finbert-ft-2026-08-09
fibk,2022-03-31,1105,46,1,9,0.0217,0.1957,0.1035,0.2146,0.5,finbert-ft-2026-08-09
fibk,2022-06-30,1105,54,2,12,0.037,0.2222,0.0663,0.2583,0.5,finbert-ft-2026-08-09
fibk,2022-09-30,1105,36,3,3,0.0833,0.0833,0.1005,0.1236,0.5,finbert-ft-2026-08-09
fibk,2022-12-31,1105,29,1,6,0.0345,0.2069,0.0763,0.2512,0.5,finbert-ft-2026-08-09
fibk,2023-03-31,1105,14,1,1,0.0714,0.0714,0.1988,0.1068,0.5,finbert-ft-2026-08-09
fibk,2023-06-30,1105,121,5,7,0.0413,0.0579,0.0621,0.0835,0.5,finbert-ft-2026-08-09
fibk,2023-09-30,1105,77,5,4,0.0649,0.0519,0.0752,0.0818,0.5,finbert-ft-2026-08-09
fibk,2023-12-31,1105,57,0,3,0.0,0.0526,0.0422,0.0788,0.5,finbert-ft-2026-08-09
fibk,2024-03-31,1105,68,2,5,0.0294,0.0735,0.0405,0.0988,0.5,finbert-ft-2026-08-09
fibk,2024-06-30,1105,84,2,7,0.0238,0.0833,0.059,0.1056,0.5,finbert-ft-2026-08-09
fibk,2024-09-30,1105,136,2,6,0.0147,0.0441,0.0478,0.0766,0.5,finbert-ft-2026-08-09
fibk,2024-12-31,1105,79,3,3,0.038,0.038,0.0656,0.0671,0.5,finbert-ft-2026-08-09
fitb,2020-03-31,6672,450,49,84,0.1089,0.1867,0.1443,0.1894,0.5,finbert-ft-2026-08-09
fitb,2020-06-30,6672,206,25,42,0.1214,0.2039,0.129,0.249,0.5,finbert-ft-2026-08-09
fitb,2020-09-30,6672,158,7,42,0.0443,0.2658,0.0495,0.2513,0.5,finbert-ft-2026-08-09
fitb,2020-12-31,6672,101,3,26,0.0297,0.2574,0.0592,0.2725,0.5,finbert-ft-2026-08-09
fitb,2021-03-31,6672,97,6,22,0.0619,0.2268,0.0771,0.2495,0.5,finbert-ft-2026-08-09
fitb,2021-06-30,6672,159,3,36,0.0189,0.2264,0.0276,0.2778,0.5,finbert-ft-2026-08-09
fitb,2021-09-30,6672,101,2,20,0.0198,0.198,0.0286,0.2209,0.5,finbert-ft-2026-08-09
fitb,2021-12-31,6672,118,3,37,0.0254,0.3136,0.032,0.3663,0.5,finbert-ft-2026-08-09
fitb,2022-03-31,6672,94,2,26,0.0213,0.2766,0.0301,0.2941,0.5,finbert-ft-2026-08-09
fitb,2022-06-30,6672,157,5,30,0.0318,0.1911,0.0459,0.2137,0.5,finbert-ft-2026-08-09
fitb,2022-09-30,6672,160,6,27,0.0375,0.1688,0.0508,0.1818,0.5,finbert-ft-2026-08-09
fitb,2022-12-31,6672,64,2,18,0.0312,0.2812,0.0382,0.2912,0.5,finbert-ft-2026-08-09
fitb,2023-03-31,6672,110,4,30,0.0364,0.2727,0.061,0.2896,0.5,finbert-ft-2026-08-09
fitb,2023-06-30,6672,549,16,61,0.0291,0.1111,0.0407,0.1454,0.5,finbert-ft-2026-08-09
fitb,2023-09-30,6672,309,8,49,0.0259,0.1586,0.0379,0.1758,0.5,finbert-ft-2026-08-09
fitb,2023-12-31,6672,400,15,37,0.0375,0.0925,0.0595,0.1191,0.5,finbert-ft-2026-08-09
fitb,2024-03-31,6672,344,12,54,0.0349,0.157,0.0473,0.1794,0.5,finbert-ft-2026-08-09
fitb,2024-06-30,6672,367,14,53,0.0381,0.1444,0.0494,0.1628,0.5,finbert-ft-2026-08-09
fitb,2024-09-30,6672,1047,30,78,0.0287,0.0745,0.0425,0.1054,0.5,finbert-ft-2026-08-09
fitb,2024-12-31,6672,253,8,33,0.0316,0.1304,0.0416,0.1588,0.5,finbert-ft-2026-08-09
flg,2020-03-31,32541,14,2,5,0.1429,0.3571,0.122,0.3801,0.5,finbert-ft-2026-08-09
flg,2020-06-30,32541,13,0,4,0.0,0.3077,0.0071,0.3092,0.5,finbert-ft-2026-08-09
flg,2020-09-30,32541,17,0,2,0.0,0.1176,0.0076,0.177,0.5,finbert-ft-2026-08-09
flg,2020-12-31,32541,13,0,4,0.0,0.3077,0.0064,0.354,0.5,finbert-ft-2026-08-09
flg,2021-03-31,32541,16,1,6,0.0625,0.375,0.0579,0.4599,0.5,finbert-ft-2026-08-09
flg,2021-06-30,32541,23,0,15,0.0,0.6522,0.0058,0.6575,0.5,finbert-ft-2026-08-09
flg,2021-09-30,32541,14,0,9,0.0,0.6429,0.0065,0.6194,0.5,finbert-ft-2026-08-09
flg,2021-12-31,32541,25,0,20,0.0,0.8,0.0083,0.5282,0.5,finbert-ft-2026-08-09
flg,2022-03-31,32541,12,0,5,0.0,0.4167,0.0065,0.4284,0.5,finbert-ft-2026-08-09
flg,2022-06-30,32541,23,5,6,0.2174,0.2609,0.2079,0.2834,0.5,finbert-ft-2026-08-09
flg,2022-09-30,32541,13,1,2,0.0769,0.1538,0.1127,0.2435,0.5,finbert-ft-2026-08-09
flg,2022-12-31,32541,19,3,12,0.1579,0.6316,0.1026,0.5942,0.5,finbert-ft-2026-08-09
flg,2023-03-31,32541,44,4,25,0.0909,0.5682,0.0867,0.5326,0.5,finbert-ft-2026-08-09
flg,2023-06-30,32541,15,0,9,0.0,0.6,0.0317,0.5836,0.5,finbert-ft-2026-08-09
flg,2023-09-30,32541,26,4,12,0.1538,0.4615,0.1157,0.4441,0.5,finbert-ft-2026-08-09
flg,2023-12-31,32541,11,2,3,0.1818,0.2727,0.166,0.266,0.5,finbert-ft-2026-08-09
flg,2024-03-31,32541,33,0,21,0.0,0.6364,0.0141,0.6327,0.5,finbert-ft-2026-08-09
flg,2024-06-30,32541,16,0,10,0.0,0.625,0.0088,0.602,0.5,finbert-ft-2026-08-09
flg,2024-09-30,32541,14,0,12,0.0,0.8571,0.0071,0.7644,0.5,finbert-ft-2026-08-09
flg,2024-12-31,32541,49,6,10,0.1224,0.2041,0.1299,0.2144,0.5,finbert-ft-2026-08-09
fnb,2020-03-31,7888,37,0,22,0.0,0.5946,0.0105,0.5504,0.5,finbert-ft-2026-08-09
fnb,2020-06-30,7888,38,0,21,0.0,0.5526,0.0109,0.5169,0.5,finbert-ft-2026-08-09
fnb,2020-09-30,7888,43,0,9,0.0,0.2093,0.0114,0.2691,0.5,finbert-ft-2026-08-09
fnb,2020-12-31,7888,12,0,7,0.0,0.5833,0.0081,0.5492,0.5,finbert-ft-2026-08-09
fnb,2021-03-31,7888,22,0,12,0.0,0.5455,0.0072,0.5245,0.5,finbert-ft-2026-08-09
fnb,2021-06-30,7888,20,0,9,0.0,0.45,0.0088,0.468,0.5,finbert-ft-2026-08-09
fnb,2021-09-30,7888,22,0,10,0.0,0.4545,0.0396,0.4722,0.5,finbert-ft-2026-08-09
fnb,2021-12-31,7888,16,0,12,0.0,0.75,0.0092,0.7107,0.5,finbert-ft-2026-08-09
fnb,2022-03-31,7888,24,2,11,0.0833,0.4583,0.0933,0.4796,0.5,finbert-ft-2026-08-09
fnb,2022-06-30,7888,36,0,17,0.0,0.4722,0.025,0.5233,0.5,finbert-ft-2026-08-09
fnb,2022-09-30,7888,23,0,10,0.0,0.4348,0.0086,0.4446,0.5,finbert-ft-2026-08-09
fnb,2022-12-31,7888,35,0,18,0.0,0.5143,0.0085,0.4905,0.5,finbert-ft-2026-08-09
fnb,2023-03-31,7888,29,0,17,0.0,0.5862,0.009,0.5329,0.5,finbert-ft-2026-08-09
fnb,2023-06-30,7888,27,0,13,0.0,0.4815,0.01,0.4296,0.5,finbert-ft-2026-08-09
fnb,2023-09-30,7888,25,0,2,0.0,0.08,0.0285,0.1459,0.5,finbert-ft-2026-08-09
fnb,2023-12-31,7888,13,0,2,0.0,0.1538,0.0121,0.1742,0.5,finbert-ft-2026-08-09
fnb,2024-03-31,7888,36,2,25,0.0556,0.6944,0.0778,0.6154,0.5,finbert-ft-2026-08-09
fnb,2024-06-30,7888,17,0,3,0.0,0.1765,0.0152,0.1752,0.5,finbert-ft-2026-08-09
